idx,enriched,source_dataset,funder_institution,program_name,program_family,eligible_actor,instrument_type,amount_clp,amount_note,gpc_sectors,specificity,climate_relevance_norm,status,recurrence,open_date,close_date,access_pathway,detail_level,status_as_of,source_url,notes,fetch_status,enr_amount,enr_eligible_actor,enr_objetivo,enr_status,enr_dates,enr_geography,enr_funder,enr_other,doc_count,doc_links
47,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2024 – Fondo para el Reciclaje 2024,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2023-09-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-2024/,FPR,,,,,,,,,,0,
48,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2023 – Fondo para el Reciclaje,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2022-09-23,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpr-2023-fondo-para-el-reciclaje/,FPR,,,,,,,,,,0,
49,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2022 Exequiel Estay – Recicladores de Base,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2021-08-17,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpr-2022-exequiel-estay-recicladores-de-base/,FPR,,,,,,,,,,0,
50,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2021 Exequiel Estay – Recicladores de Base,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2020-11-25,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-2021-exequiel-estay-recicladores-de-base/,FPR,,,,,,,,,,0,
51,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2020 – Promoviendo la economía circular en municipios a través del reciclaje,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2020-06-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/promoviendo-la-economia-circular-en-municipios-a-traves-del-reciclaje/,FPR,,,,,,,,,,0,
52,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2020 Exequiel Estay – Recicladores de Base,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2020-06-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-exequiel-estay-recicladores-de-base/,FPR,,,,,,,,,,0,
53,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2020 – Fondo para el Reciclaje Chiloé 2020,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2020-06-02,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-chiloe-2020/,FPR,,,,,,,,,,0,
54,no,cl-mma,Ministerio del Medio Ambiente (MMA),"Recambio de Calefactores (programa permanente, comunas con PDA)",Recambio Calefactores,household,subsidy,,,"[""cross_sector""]",sector-specific,explicit,closed,"ongoing (rolling, per-comuna PDA)",,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/recambio-de-calefactores/,PROG,,,,,,,,,,0,
55,yes,cl-minenergia,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",Comuna Energética,Comuna Energética,municipality,technical_assistance + grant (co-financing),,co-financing via concursable windows; amount varies,"[""stationary_energy""]",sector-specific,explicit,ongoing,ongoing (rolling adhesion; periodic concursable windows),,,municipality applies/adheres,detailed,2026-06-08,https://www.comunaenergetica.cl/sobre-comuna-energetica/,"Municipal energy management programme: supports Estrategia Energética Local + Sello + co-financing of community energy projects. 141 comunas adhered, 123 EELs (page).",ok,"no single figure — technical + financial support via co-financing, fondos concursables, ESCOs, leasing, green credits",municipality (enrolled comuna),Improve municipal energy management; municipalities build a Local Energy Strategy (EEL) and implement projects in renewables + efficiency; awards the 'Sello Comuna Energética'.,,,,Ministerio de Energía + Agencia de Sostenibilidad Energética (AgenciaSE),"status_scale: 141 comunas adhered; 123 EELs; 50+ projects implemented | how_to_apply: comuna enrolls in the programme; technical accompaniment + access to co-financing instruments | integrates_with: SCAM/AVAC (MMA), PDA (MMA), CEV (MINVU), PER (MEN)",3,Agenda de Energía 2022-2026 -> https://energia.gob.cl/sites/default/files/documentos/agenda_energia_2022_-_2026.pdf ;; Biblioteca / Recursos (programme library) -> https://www.comunaenergetica.cl/biblioteca/ ;; Comunas adheridas (list) -> https://www.comunaenergetica.cl/comunas/
56,no,cl-minenergia,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",Asistencia Técnica para Municipios en Gestión Energética Local,Asistencia Técnica para Municipios en Gestión Energética Local,municipality,technical_assistance,,in-kind technical assistance (no cash grant),"[""stationary_energy""]",sector-specific,explicit,ongoing,ongoing (programme),,,municipality applies,index,2026-06-08,https://www.agenciase.org/category/desarrollo-y-vinculacion-territorial/asistencia-tecnica-para-municipios-en-gestion-energetica-local/,"Technical assistance to municipalities for local energy management; enabling, not a cash fund.",,,,,,,,,,0,
57,no,cl-minenergia,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",Parque Solar Comunitario,Parque Solar Comunitario,municipality + community (joint ownership),blended (designed/co-financed PV),,ministry-designed distributed generation; benefit = bill discounts,"[""stationary_energy""]",sector-specific,explicit,"in rollout (design phase, 59 comunas)","ongoing (programme rollout, not an annual concurso)",,,via municipality (ministry rollout),index,2026-06-08,https://energia.gob.cl/noticias/nacional/parque-solar-comunitario-ministerio-de-energia-disenara-proyectos-fotovoltaicos-en-59-comunas-de-todo-chile,"Community-owned PV developed through municipalities; 59 comunas in design (earlier MMA/energia reporting). Access pathway is a rollout, not open application.",,,,,,,,,,0,
58,no,cl-minenergia,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",Casa Solar,Casa Solar,household (municipally facilitated),blended (subsidy + aggregated purchase),,co-financing up to ~50% of rooftop PV + ~30% aggregate-purchase discount,"[""stationary_energy""]",sector-specific,explicit,open (rolling in enrolled comunas),"ongoing (rolling, per-comuna enrolment)",,,facilitated-by-city (comuna must be enrolled),detailed,2026-06-08,https://www.casasolar.cl/,Households in enrolled comunas co-finance rooftop PV; municipality's role is enrolment/organising (19 comunas reported open).,,,,,,,,,,0,
59,yes,cl-minenergia,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",Fondo de Acceso a la Energía (FAE),Fondo de Acceso a la Energía (FAE),community/citizen org (rol público comunitario >5 yrs; not municipalities directly),grant,,"PV up to 10 kWp; solar thermal up to 1,500 L accumulation","[""stationary_energy""]",sector-specific,explicit,closed,sporadic (created 2014 as pilot; last call closed 20 Jul 2024),,,direct application (via fondos.gob.cl),detailed,2026-06-08,https://www.chileatiende.gob.cl/fichas/36666-fondo-de-acceso-a-la-energia-fae,"Energy access for rural/isolated/vulnerable community infrastructure. Eligible = indigenous communities, juntas de vecinos, NGOs, bomberos. Last postulación finished 2024-07-20 (ChileAtiende).",ok,,"community-role legal persons (>5 yrs): indigenous communities (Ley 19.253), juntas de vecinos (Ley 19.418), non-profits (Ley 20.500), fire brigades (Ley 20.564). NOT municipalities.",Facilitate electricity access in rural/isolated/vulnerable areas via small-scale renewable systems.,dormant — last call closed 2024-07-20,,,Ministerio de Energía,"financiable: PV generation up to 10 kWp (±battery); solar thermal up to 1,500 L hot-water accumulation | how_to_apply: via Fondos Concursables del Estado (fondos.gob.cl)",2,FAE ficha (PDF) -> https://www.chileatiende.gob.cl/fichas/36666/1/pdf ;; Min. Energía trámite info -> https://atencionciudadana.minenergia.cl/tramites/informacion/42
60,yes,cl-minenergia,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",Mejor Escuela (energías renovables / acond. térmico escuelas),Mejor Escuela (energías renovables / acond. térmico escuelas),school sostenedor (often municipal),grant/works,,energy/thermal upgrades to schools; amount per call,"[""stationary_energy"", ""buildings""]",sector-specific,explicit,periodic (see AgenciaSE convocatorias),sporadic/periodic,,,sostenedor applies (municipal schools eligible),index,2026-06-08,https://www.mejorescuela.cl/,School energy-efficiency / renewables / thermal-conditioning programme; municipal school sostenedores eligible. Verify current call on AgenciaSE convocatorias.,ok,,school sostenedor (often municipal),Design + implement thermal-conditioning / energy-improvement conservation projects in public schools (goal: 100 schools).,ongoing (per convocatoria); registries open for electrical/technical consultants & contractors,,,Ministerio de Energía + AgenciaSE,,3,Guía Mejor Escuela (Abril 2026) -> https://www.mejorescuela.cl/wp-content/uploads/2026/04/Mejor-Escuela-Abril-2026.pdf ;; Convocatorias -> https://www.mejorescuela.cl/convocatorias/ ;; Colegios beneficiados -> https://www.mejorescuela.cl/colegios-beneficiados/
61,yes,cl-subdere,SUBDERE (Subsecretaría de Desarrollo Regional y Administrativo),Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU),Programa de Mejoramiento Urbano y Equipamiento Comunal (PMU),municipality,grant (capital transfer),,"per-project, budget-dependent (no fixed ceiling on the program page)","[""cross_sector""]",broad,adjacent,open (continuous),"ongoing (rolling, all year)",,,municipality applies (subdereenlinea.gov.cl),detailed,2026-06-08,https://www.subdere.gov.cl/programas/divisi%C3%B3n-municipalidades/programa-mejoramiento-urbano-y-equipamiento-comunal-pmu,Equalises urban development; funds construction/repair of community infrastructure & equipment. FLAG broad fund: over-matches in scoring; include but down-weight.,ok,,municipalities and municipal associations,"Equalise urban development; fund construction/repair/improvement of local infrastructure & community equipment (toilets, social HQs, sports courts, pavement, public lighting, retaining walls, green areas, municipal buildings, generators, water capture).",Active,,,SUBDERE (Subsecretaría de Desarrollo Regional),"instrument: capital transfer; rolling/continuous all year (no limit on number of initiatives), subject to budget | how_to_apply: via www.subderenelinea.cl",3,Guía Operativa 2023 PMU -> https://www.subdere.gov.cl/documentacion/gu%C3%AD-operativa-para-el-programa-de-mejoramiento-urbano-y-equipamiento-comunal ;; Manual de alumbrado público -> https://www.subdere.gov.cl/content/manual-de-alumbrado-p%C3%BAblico-0 ;; Manual de vallas (vía pública) 2024 -> https://www.subdere.gov.cl/content/manual-de-vallas-v%C3%ADa-p%C3%BAblica-2024
62,yes,cl-subdere,SUBDERE,Programa de Mejoramiento de Barrios (PMB),Programa de Mejoramiento de Barrios (PMB),municipality + municipal associations,grant (capital transfer),,"per-project, budget-dependent","[""water"", ""waste"", ""stationary_energy""]",broad,adjacent,open (continuous),"ongoing (rolling, budget-dependent)",,,municipality applies (subdereenlinea.gov.cl),detailed,2026-06-08,https://www.subdere.gov.cl/programas/divisi%C3%B3n-municipalidades/programa-mejoramiento-de-barrios-pmb,"Sanitation/solid-waste/electrification/heritage for low-income areas; per Ley de Presupuestos can fund waste valorization & management models, energization, rural connectivity. Water/waste relevance.",ok,,municipalities and municipal associations,"Sanitation solutions for families in sanitary marginality (drinking water, sewerage); per budget glosa can also fund energization, rural connectivity/telecoms, waste valorization, heritage.",Active,,,SUBDERE,instrument: capital transfer; annual | legal_basis: Ley 18.138/1982; Decreto 829/1998,2,Manual del Usuario PMB Online -> https://www.subdere.gov.cl/documentacion/manual-del-usuario-del-programa-de-mejoramiento-de-barrios-line ;; Manual de alumbrado público -> https://www.subdere.gov.cl/content/manual-de-alumbrado-p%C3%BAblico
63,no,cl-subdere,SUBDERE,Programa de Prevención y Mitigación de Riesgos (PMR),Programa de Prevención y Mitigación de Riesgos (PMR),municipality,grant,,"per-project, budget-dependent","[""cross_sector""]",sector-specific,explicit,periodic (see SUBDERE),ongoing (programme),,,municipality applies,index,2026-06-08,https://www.subdere.gov.cl/programas,Risk prevention & mitigation works — climate-adaptation relevant. Confirm current call/amounts on SUBDERE site (site was slow at capture).,,,,,,,,,,0,
64,no,cl-subdere,SUBDERE,Fondo de Recuperación de Ciudades (FRC),Fondo de Recuperación de Ciudades (FRC),municipality / regional,grant,,per-project,"[""cross_sector""]",broad,adjacent,periodic (see SUBDERE),ongoing/periodic,,,municipality/region,index,2026-06-08,https://www.subdere.gov.cl/programas,Urban recovery fund; broad. Lower direct climate relevance; included for completeness.,,,,,,,,,,0,
65,yes,cl-minvu,MINVU (Ministerio de Vivienda y Urbanismo),Programa Concursable de Espacios Públicos,Programa Concursable de Espacios Públicos,municipality (alcalde presents; community/SEREMI may originate),grant,,"Llamado Regular up to UF 30,000 (design+execution); Llamado Especial up to UF 6,000","[""afolu"", ""cross_sector""]",sector-specific,explicit,periodic (annual),annual (Regular call ~April; Especial ~September),,,municipality applies to SEREMI MINVU,detailed,2026-06-08,https://www.minvu.gob.cl/beneficio/ciudad/programa-concursable-de-espacios-publicos/,"Recovers deteriorated public space; funds green areas, rainwater solutions, lighting, pavement, furniture. Governed by DS 312/2016 + Resolución Exenta per call. Page last shows 2023-2024 call (page lag); cadence is annual.",ok,"Llamado Regular: works up to UF 30,000 (design fully financed by MINVU sectoral budget); Llamado Especial: finished-design works up to UF 6,000",municipality (alcalde presents; community or SEREMI MINVU may originate; mixed applications allowed),"Recover deteriorated public space in consolidated urban areas (pavement, lighting, urban furniture, play areas, green areas, stormwater).",,,,Ministerio de Vivienda y Urbanismo (MINVU),how_to_apply: SEREMI MINVU per-region calls via Resolución Exenta; municipality applies | plazos: Regular: apply during April; Especial: during September,5,Ord. N°187 Regular -> https://www.minvu.gob.cl/wp-content/uploads/2019/05/Ord.N°187_Regular.pdf ;; Ord. N°188 Especial -> https://www.minvu.gob.cl/wp-content/uploads/2019/05/Ord.N°188_Especial.pdf ;; DS 312 (2016) — reglamento -> https://www.minvu.gob.cl/wp-content/uploads/2019/05/DS-312.pdf ;; RES EX 1596 — procedimiento Espacios Públicos -> https://www.minvu.gob.cl/wp-content/uploads/2019/05/160430-RES_-EX_-1596_Fija-Procedimiento-Espacios-Públicos_ACT-30-04-2016.pdf ;; Guía La Dimensión Humana en el Espacio Público -> https://www.minvu.gob.cl/wp-content/uploads/2019/08/La-dimension-humana.pdf
66,yes,cl-minvu,MINVU,Parques Urbanos (construcción y conservación),Parques Urbanos (construcción y conservación),municipality (SEREMI prioritises construction),grant/works,,"per-park; SEREMI-prioritised by green-area deficit, population, vulnerability","[""afolu""]",sector-specific,explicit,periodic,ongoing (construction prioritised) + conservation programme,,,SEREMI prioritisation; newer conservation line is competitive,index,2026-06-08,https://www.minvu.gob.cl/beneficio/ciudad/parques-urbanos/,"Construction + conservation of urban parks; National Urban Parks Policy names 'environment, resilience and climate change' as an axis. Construction not openly competitive (SEREMI-prioritised); confirm conservation call mechanics.",ok,,municipality (SEREMI prioritises construction; municipality applies to conservation calls),"Build new + conserve existing sustainable urban parks (ecosystem services, climate adaptation, biodiversity).",ongoing (construction prioritised) + competitive conservation programme,,,MINVU (SERVIU / Parquemet in RM),"selection_criteria: green-area deficit, beneficiary population, vulnerability",4,DS 112/2014 — Prog. Conservación Parques Urbanos -> https://www.minvu.gob.cl/wp-content/uploads/2020/05/DS112-Aprueba-Prog.-de-Conserv.-de-P.-Urbanos.pdf ;; Resolución 10278/2017 (mod. 1449/2020) -> https://www.minvu.gob.cl/wp-content/uploads/2020/05/Res_10278_2017_Res_1449_2020.pdf ;; Decreto Política Nacional de Parques Urbanos -> https://www.minvu.gob.cl/wp-content/uploads/2020/05/Decreto-de-la-Política-Nacional-de-Parques-Urbanos.pdf ;; HESPU — Manual de evaluación de indicadores -> https://www.minvu.gob.cl/wp-content/uploads/2020/05/MANUAL-V5.pdf
67,yes,cl-minvu,MINVU,Pavimentación Participativa,Pavimentación Participativa,municipality + comités de pavimentación,grant (co-financed),,co-financed (municipality + neighbours + MINVU); per call,"[""cross_sector""]",broad,indirect,periodic (annual),annual,,,municipality + community committee,index,2026-06-08,https://www.minvu.gob.cl/beneficios/pavimentos_participativos/,"Annual paving programme; mainly mobility/urban, weak direct climate relevance. Included for completeness.",ok,,municipality + comités de pavimentación (community co-financing),"Pave/repave streets, passages and sidewalks via community participation.",annual call (Llamado N°32/33),,,MINVU / SERVIU,legal_basis: D.S. N°114,1,"Programa Pavimentación Participativa (detail + Manual, Plan de Obras, afiche) -> https://www.minvu.gob.cl/beneficio/ciudad/programa-de-pavimentacion-participativa-d-s-n114/"
68,yes,cl-minvu,MINVU,Programa de Recuperación de Barrios (Quiero Mi Barrio),Programa de Recuperación de Barrios (Quiero Mi Barrio),municipality (with community),grant/works,,per-neighbourhood programme,"[""cross_sector""]",broad,adjacent,periodic,ongoing (programme),,,MINVU/SERVIU with municipality,index,2026-06-08,https://www.minvu.gob.cl/beneficios/recuperacion_de_barrios/,Neighbourhood recovery incl. public-space and green works; adjacent climate relevance via green/공간 upgrades.,ok,,municipality (with community),Improve quality of life through participatory community activation and recovery of public/common space in neighbourhoods.,ongoing programme,,,MINVU,,1,Programa de Recuperación de Barrios (detail) -> https://www.minvu.gob.cl/beneficio/ciudad/programa-de-recuperacion-de-barrios/
69,yes,cl-gore,Gobiernos Regionales (16) + SUBDERE / Min. Interior,FNDR — Inversión Regional (Glosa 03 / SNI),FNDR — Inversión Regional (Glosa 03 / SNI),municipality / regional government / public services (projects via SNI-BIP),grant (public investment / capital transfer),,"large regional investment projects; per-project, requires SNI 'Recomendación Satisfactoria (RS)'","[""cross_sector""]",broad,adjacent,ongoing (annual budget cycle),ongoing (annual budget),,,project submitted via GORE / SNI,detailed,2026-06-08,https://www.subdere.gov.cl/content/glosa-03-provisi%C3%B3n-fondo-nacional-de-desarrollo-regional-fndr,Regional tier. The main regional investment channel (created 1974). Broad: down-weight in scoring (capped at Moderate).,ok,,municipality / regional government / public services,Main regional public-investment fund; projects submitted via GORE / SNI-BIP (need 'RS' admissibility).,,,,"Gobierno Regional (GORE), via SNI/BIP; SUBDERE reporting",note: This page = Glosa 03 quarterly EXECUTION reports (who/what got funded) — a revealed-outcomes source. Plus annual budget-execution dashboards per region 2023-2026.,3,FNDR budget execution by region (2026) -> https://www.subdere.gov.cl/documentacion_fndr/2026 ;; FNDR budget execution by region (2025) -> https://www.subdere.gov.cl/documentacion_fndr/2025 ;; Glosa 03 FNDR adjudicated projects (sample xlsx/pdf) -> https://www.subdere.gov.cl/content/glosa-03-provisi%C3%B3n-fondo-nacional-de-desarrollo-regional-fndr
70,yes,cl-gore,Gobiernos Regionales,FRIL — Fondo Regional de Iniciativa Local,FRIL — Fondo Regional de Iniciativa Local,municipality,grant (capital transfer),,"minor communal infrastructure, total project cost <= M$180,000 (~CLP 180,000,000)","[""cross_sector""]",broad,adjacent,periodic (per region),"ongoing (annual, per GORE)",,,municipality applies to its GORE,detailed,2026-06-08,https://www.gobiernosantiago.cl/fndr/,Regional tier. Municipal small-works fund; very city-accessible but broad (capped at Moderate).,js_shell_no_content,,,,,,,Gobierno Regional (GORE),"note: GORE portal is JS-rendered (empty shell to non-JS fetch). FRIL funds small local infrastructure ≤ ~5,000 UTM; municipality applies to its GORE. Render with Chrome to read live calls.",1,GORE Santiago FNDR/FRIL (JS page) -> https://www.gobiernosantiago.cl/fndr/
71,yes,cl-gore,Gobiernos Regionales,FNDR 8% — Subvención a actividades (línea Medio Ambiente y educación ambiental),FNDR 8% — Subvención a actividades (línea Medio Ambiente y educación ambiental),non-profit organisations (legal status >=2 yrs; NOT municipalities),grant (activity subsidy),,"up to ~CLP 30,000,000; max 2 projects per org; activities up to 6 months (Jul-Dec 2026)","[""afolu"", ""cross_sector""]",sector-specific,explicit,periodic (annual; 2026 calls ran early 2026),annual,,,NGO applies to GORE (via fondos.gob.cl),detailed,2026-06-08,https://www.goremaule.cl/goremauleVII/fndr-8-ano-2026/,"Regional tier. Structured nationally by Ley de Presupuestos glosa 07; same line across GOREs. Actor = NGOs, not the municipality; activities not infrastructure.",js_shell_no_content,,,,,,,Gobierno Regional (GORE),note: GORE portal JS-rendered (empty shell). FNDR 8% funds activities incl. an environment/medio-ambiente line; eligible actors incl. NGOs/non-profits (NOT municipalities for some lines). Per-region annual call. Render with Chrome.,1,GORE Maule FNDR 8% 2026 (JS page) -> https://www.goremaule.cl/goremauleVII/fndr-8-ano-2026/
72,no,cl-gore,Gobiernos Regionales,FRPD — Fondo Regional para la Productividad y el Desarrollo,FRPD — Fondo Regional para la Productividad y el Desarrollo,legal persons / firms / institutions (productive investment; varies by region),grant / co-financing (productive investment),,"per-region; e.g. up to ~CLP 300,000,000 (Arica y Parinacota 2026)","[""cross_sector""]",broad,adjacent,periodic (per region),ongoing/periodic,,,GORE call (via fondos.gob.cl),index,2026-06-08,https://fondos.gob.cl/ficha/gorearica/frpd2026arica/,Regional tier. Productivity/investment fund; climate relevance depends on the funded project. Confirm per-region call.,,,,,,,,,,0,
73,yes,cl-corfo,Corporación de Fomento de la Producción (CORFO),Crédito Verde,Crédito Verde,private firm (any size; no annual-sales cap),loan (intermediated via banks / leasing),,"up to US$30M per firm, term up to 20 years; CORFO funds the financial institution, not the firm directly","[""stationary_energy"", ""industry"", ""waste""]",sector-specific,explicit,ongoing,ongoing,,,intermediated (apply through a participating bank / leasing co.),detailed,2026-06-08,https://www.corfo.cl/sites/cpp/convocatorias/movil/credito_verde,"Fills the debt-instrument gap. Firm actor, not municipality. US$83M+ placed in 2024.",js_shell_no_content,,,,,,,CORFO,"note: Page is JS-rendered — returns an empty shell to a non-JS fetch. Detail per source review: loan up to ~US$30M, ~20-yr term, intermediated via banks/leasing, for firms' ERNC/efficiency/circular-economy/green-H2. Licence CC BY-NC-ND 3.0. Use Chrome/headless render to extract live terms.",1,"Crédito Verde (CORFO, JS page — render to read) -> https://www.corfo.cl/sites/cpp/convocatorias/movil/credito_verde"
74,no,cl-corfo,Corporación de Fomento de la Producción (CORFO),Programa Expande,Programa Expande,private firm / growth-stage venture,co-financing (grant) + technical accompaniment,,"per call; 2026 convocatoria prioritised >=10 projects in decarbonisation, green H2, clean energy, CO2 capture","[""stationary_energy"", ""industry""]",sector-specific,explicit,open (2026 convocatoria),annual,,,direct application via a sponsoring entity (entidad patrocinadora),detailed,2026-06-08,https://www.corfo.cl/sites/cpp/programasyconvocatorias,Growth-stage clean-tech / decarbonisation co-financing.,,,,,,,,,,0,
75,no,cl-corfo,Corporación de Fomento de la Producción (CORFO),Garantías / Coberturas CORFO (e.g. FOGAIN),Garantías / Coberturas CORFO (e.g. FOGAIN),private firm / SME,guarantee (credit risk coverage),,covers a share of the collateral a firm lacks for a bank loan (incl. green projects),"[""cross_sector""]",broad,adjacent,ongoing,ongoing,,,intermediated (via participating banks),detailed,2026-06-08,https://www.corfo.cl/sites/cpp/programasyconvocatorias,Guarantee instrument; broad (any firm credit). Down-weight in scoring.,,,,,,,,,,0,
76,no,cl-corfo,Corporación de Fomento de la Producción (CORFO),Financiamiento Hidrógeno Verde (facilidades / Fondo H2V),Financiamiento Hidrógeno Verde (facilidades / Fondo H2V),green-hydrogen project developers / firms,blended / concessional loan,,"large; backed by a ~US$1,000M green-hydrogen fund (with EIB/KfW); facilities phased in","[""stationary_energy"", ""industry""]",sector-specific,explicit,emerging (facilities opening in phases),sporadic (programme rollout),,,direct / intermediated (project finance),index,2026-06-08,https://corfo.cl/sites/cpp/sala_de_prensa/nacional/19_06_2023_fondo_hidrogeno_verde,Green-hydrogen project finance; multilateral-backed (EIB/KfW). Confirm current facility terms.,,,,,,,,,,0,
77,no,cl-corfo,Corporación de Fomento de la Producción (CORFO),Innova Chile — I+D e innovación (clean-tech),Innova Chile — I+D e innovación (clean-tech),private firm / entrepreneur,grant / co-financing (innovation),,"per call; innovation & R&D co-financing, includes clean-tech / sustainability lines","[""cross_sector"", ""industry""]",broad,adjacent,periodic,ongoing/periodic,,,direct application,index,2026-06-08,https://www.corfo.cl/sites/cpp/programasyconvocatorias,Innovation/R&D co-financing; broad. Climate-relevant only for clean-tech projects.,,,,,,,,,,0,
